CW,String,Dominance Score,Alternative Dominance Score from Armstrong et al. (2012) EDOM,Similarity Norming Category,Zeugmatic Similarity Norming Sentence,Anaphora,Similarity Mean,Similarity STDEV,Similarity SEM
PITCHER,PITCHER,0,,H,Strikes were thrown by the pitcher and water poured from it.,it,1.44,0.96,0.1
POACH,POACHED,0.05,,H,*The rhinoceros was poached by hunters and the eggs by the chef.,chef,,,
POOL,POOL,*0.91,0.4,H,The billiards expert played pool and the children swam in one.,one,1.51,0.99,0.11
PORT,PORT,*0.82,0.36,H,The wine connoisseur drank the port and the cruise ship entered one.,one,1.59,1.05,0.11
POST,POST,0.41,,H,On Facebook she liked the post and the mailman gathered letters from it.,it,2.08,1.3,0.14
POT,POT,0.55,,H,She smoked a little pot and warmed the sauce in one.,one,1.32,0.78,0.08
POUND,POUNDS,0.59,,H,The Englishman paid five pounds and my puppy weighed that.,that,1.97,1.47,0.16
PRESENT,PRESENT,0.32,,H,He tried living in the present and she wrapped it.,it,1.43,0.78,0.08
PUNCH,PUNCH,0.4,,H,The partygoer sipped the punch and the boxer threw one.,one,1.53,1.11,0.12
PUPIL,PUPIL,0.37,,H,The teacher questioned the pupil and the optometrist dilated one.,one,1.52,1.09,0.12
QUACK,QUACK,0.77,,H,The duck let out a quack and the fake doctor was one.,one,1.57,0.94,0.1
RACE,RACE,0.3,,H,The woman's race was Caucasian and the runner ran one.,one,1.4,1.03,0.11
RACKET,RACKET,0.58,,H,The tennis player tried a racket and the loud neighbors were making one.,one,1.63,0.89,0.09
RARE,RARE,*0.84,0.45,H,"His grilled steak was rare and the antique coin was rare, too.",rare,1.6,1.1,0.12
RING,RING,0.79,,H,The bell let out a ring and her fiancée bought one.,one,1.72,1.2,0.13
ROCK,ROCK,0.49,,H,The concert goers listened to rock and the landscaper designed with it.,it,1.58,1,0.11
SEAL,SEALS,0.67,,H,The Navy deployed the seals and at the beach one flicked its tail.,one,1.5,0.84,0.09
SECOND,SECOND,0.37,,H,The first battery was replaced by a second and the runner was beat by one.,one,2.18,1.66,0.18
SPADE,SPADE,0.66,,H,The gardener used a spade and the poker player drew one.,one,2.15,1.52,0.16
STALL,STALL,0.47,,H,The group's delay tactic was a stall and the horse was kept in one.,one,1.74,1.47,0.16
STAPLE,STAPLE,Not normed,0.59,H,The papers were fastened by a staple and for college students ramen is one.,one,1.53,0.9,0.1
STUD,STUD,Not normed,0.52,H,He hammered the nail into a stud and my muscular boyfriend was one.,one,1.74,1.28,0.14
SUBWAY,SUBWAY,0.33,,H,We ordered sandwiches from Subway and the commuters rode on one.,one,1.43,0.97,0.1
SWALLOW,SWALLOW,0.69,,H,In the nest there was a swallow and I opened the medicine bottle and took one.,one,1.31,0.88,0.09
TAG,TAG,0.59,,H,The children played tag and the new shirt still had one.,one,1.56,1.04,0.11
TART,TART,0.13,,H,She preferred sweet lemonade to tart and the pastry chef baked one.,one,3.2,1.83,0.19
TEAR,TEAR,0.56,,H,The girl shed a tear and the faded jeans had one.,one,1.48,0.97,0.1
TEMPLE,TEMPLE,0.79,,H,For holy holidays she visits her temple and for headaches she massages it.,it,1.49,1.03,0.11
TICK,TICK,0.52,,H,The clock emitted a tick and the hiker was bit by one.,one,1.39,0.79,0.08
TIP,TIP,*0.84,0.26,H,He cut his finger on the tip and the restaurant bill didn't include one.,one,1.28,0.5,0.05
VAULT,VAULT,Not normed,0.6,H,The American gymnast medaled in vault and the banker put money in one.,one,1.49,1.05,0.11
VET,VET,0.5,,H,Our cat was treated by a vet and the military agency was run by one.,one,1.69,1.15,0.12
WILL,WILL,0.03,,H,The attorney read a will and the exhausted hiker had none.,none,2,1.29,0.14
YARD,YARD,0.52,,H,The quarterback ran for a yard and the rental house had one.,one,1.99,1.37,0.15
ADMIT,ADMITTED,0.22,,IP,"The truth was admitted and the law students were admitted, too.",admitted,2.42,1.39,0.15
ANSWER,ANSWER,0.15,,IP,She never got an answer for her question or one for the math problem.,one,5.99,1.25,0.13
APPEAL,APPEAL,0.42,,IP,Her personal style has an appeal and the defendant was granted one.,one,1.91,1.45,0.15
BALANCE,BALANCE,0.55,,IP,With the weights there was a balance and also one with checking account.,one,2.1,1.21,0.13
BAR,BAR,0.69,,IP,A man was seated at the bar and between classes I ate one.,one,1.69,1.21,0.13
BASE,BASE,0.42,,IP,The base of the tree was rotted and the outfielder tagged one.,one,1.77,1.03,0.11
BEAM,BEAM,0.28,,IP,The roof was supported by a beam and one shone through my window.,one,2.22,1.48,0.16
BITTERNESS,BITTERNESS,0.4,,IP,"The prisoner had some bitterness and the coffee had some, too.",some,3.28,1.46,0.16
BRASS,BRASS,0.19,,IP,"The marching band was mostly brass and the light fixtures were brass, too.",brass,3.23,1.73,0.18
BREAK,BREAK,0.04,,IP,Employers recommend workers get a break and X-rays showed I had one.,one,1.72,0.97,0.1
CABINET,CABINET,0.69,,IP,The President met with his cabinet and we put cups in ours.,ours,1.53,1.06,0.11
CARDINAL,CARDINAL,0.69,,IP,The Pope appointed a cardinal and we spotted one in a nest.,one,1.68,1.27,0.14
CAST,CAST,0.43,,IP,The audience applauded members of the cast and the doctor removed mine.,mine,1.38,0.91,0.1
CHANGE,CHANGE,0.69,,IP,We adapted to the change and the store clerk counted it.,it,1.63,1.23,0.13
CHARACTER,CHARACTER,0.66,,IP,Impatience is a flaw in her character and little dialogue was spoken by mine.,mine,3.32,1.79,0.19
CHARM,CHARM,0.23,,IP,My Southern grandma is known for her charm and Sienna's bracelet had one.,one,1.85,1.09,0.12
CHECK,CHECK,0.63,,IP,The mechanic performed a check and the renter wrote one.,one,1.45,0.97,0.1
CLOG,CLOGS,0.4,,IP,The woman wore clogs and the plumber unstopped them.,them,1.48,1.07,0.11
COLUMN,COLUMN,0.16,,IP,The porch was supported by a column and the numbers were listed in one.,one,2.42,1.3,0.14
CORE,CORE,0.09,,IP,They drilled through Earth to its core and chucked the one from the apple.,one,3.45,1.77,0.19
COURT,COURT,0.63,,IP,The attorneys argued the case in the court and the tennis player volleyed on one.,one,2.02,1.18,0.13
CRANE,CRANE,0.31,,IP,At the wetlands we spotted a crane and the cement blocks were lifted by one.,one,1.66,1.19,0.13
CURSE,CURSE,0.38,,IP,The boy shouted a curse and the wizard put one on us.,one,3.47,1.79,0.19
CYCLE,CYCLE,0.18,,IP,Water evaporation is part of a cycle and the biker hopped onto one.,one,1.85,1.08,0.11
DANISH,DANISH,0.42,,IP,My relatives are Danish and for breakfast I ate one.,one,1.94,1.04,0.11
DECK,DECK,0.67,,IP,Cards were dealt from the deck and the sailor worked below one.,one,1.6,1.01,0.11
DEED,DEED,0.21,,IP,The boy scout performed a deed and the property owner received his.,his,2,1.17,0.13
DEGREE,DEGREE,0.42,,IP,The temperature rose a degree and the biology major pursued one.,one,1.47,0.91,0.1
DIET,DIET,0.4,,IP,She lost weight on her diet and eliminated gluten from it.,it,5.8,1.44,0.15
DIFFERENCE,DIFFERENCE,0.54,,IP,Subtracting two numbers gave her the difference and there was a notable one in her face after surgery.,one,3.22,1.67,0.18
DIP,DIP,0.54,,IP,At the river they took a dip and at the potluck they sampled one.,one,1.86,1.19,0.13
DRAFT,DRAFT,0.55,,IP,The English major finished the draft and the football player entered one.,one,1.64,1.03,0.11
DRILL,DRILL,0.33,,IP,The soldiers took part in a drill and the carpenter used one to tighten screws.,one,1.74,1.34,0.14
DRINK,DRINK,0.59,,IP,The kids ran to the fountain for a drink and the man at the bar ordered one.,one,5.06,1.61,0.17
DROP,DROPS,0.52,,IP,My cell phone survived several drops and the rainstorm began with a few.,few,2.17,1.44,0.15
DRUMSTICK,DRUMSTICKS,0.23,,IP,The percussionist played with drumsticks and the Thanksgiving guest ate some.,some,1.73,1.12,0.12
FAT,FAT,0.64,,IP,The professional athlete had no fat and the Greek yogurt didn't have any either.,any,4.53,1.6,0.17
FAULT,FAULT,0.19,,IP,The court determined the fault and the earthquake centered on one.,one,1.72,1.12,0.12
FORTUNE,FORTUNE,0.48,,IP,The millionaire made his fortune and the oracle told me mine.,mine,2.58,1.79,0.19
FUNCTION,FUNCTION,0.24,,IP,The decorative drawings had no function but the algebra problem was calculated using one.,one,2.24,1.45,0.15
FUR,FUR,0.59,,IP,The pet groomer combed the fur and the runway model wore one.,one,4.59,1.53,0.16
GEAR,GEAR,0.02,,IP,The driver shifted the gear and the backpacker unpacked his.,his,1.91,1.37,0.15
GOAL,GOAL,0.17,,IP,The football player scored a goal and the student with straight A's met hers.,hers,3.3,1.61,0.17
GRACE,GRACE,0.45,,IP,The Catholic family began meals with grace and the ballerina danced with it.,it,1.75,1.06,0.11
GUIDE,GUIDE,0.64,,IP,We thumbed the pages of our guide and the tour was led by one.,one,3.28,1.58,0.17
INTRODUCTION,INTRODUCTION,0.12,,IP,The book began with an introduction but the couple met without one.,one,4.09,1.73,0.18
IRON,IRON,0.52,,IP,The prospector mined the iron and the maid unplugged it.,it,1.74,1.06,0.11
ISSUE,ISSUES,0.54,,IP,That bookstore carried several issues and the mental patients had lots of them.,them,1.91,1.52,0.16
JINGLE,JINGLE,0.55,,IP,On Christmas Eve we heard a jingle and the one on the commercial was catchy.,one,5.33,1.69,0.18
LACE,LACE,0.5,,IP,Her gown was trimmed with lace and I reached for my shoe to tie mine.,mine,2.28,1.24,0.13
LORD,LORD,0.05,,IP,The countess curtsied to the lord and the church goers prayed to theirs.,theirs,3.19,1.94,0.21
MONITOR,MONITOR,0.45,,IP,The graphics were displayed on a monitor and the students were supervised by one.,one,2.05,1.33,0.14
MUSIC,MUSIC,0.37,,IP,She loved to listen to music and that was her major.,that,5.74,1.24,0.13
NAIL,NAIL,0.58,,IP,She chipped a nail and he hammered one.,one,1.72,1.16,0.12
ODD,ODD,0.48,,IP,"All the numbers were odd and the scientists were odd, too.",odd,1.98,1.28,0.14
OIL,OIL,0.38,,IP,"The engine needed some oil and the salad needed some, too.",some,2.92,1.52,0.16
OPENING,OPENING,0.21,,IP,Visitors entered through an opening and the films' stars attended one.,one,2.77,1.49,0.16
OPERATION,OPERATION,0.54,,IP,The Coast Guard initiated the operation and the surgeons performed one.,one,3.56,1.6,0.17
ORDER,ORDER,0.44,,IP,The waitress wrote down the order and the army sergeant gave one.,one,3.56,1.65,0.18
PANEL,PANEL,0.61,,IP,"Indicator lights were on the panel and several experts in the field were on one, too.",one,2.43,1.42,0.15
PASSAGE,PASSAGE,0.37,,IP,Each student read aloud a passage and the tourists walked along one.,one,1.6,0.93,0.1
PIPE,PIPE,0.66,,IP,The smoker pulled out a pipe and the plumber replaced one.,one,2.34,1.33,0.14
REACTION,REACTION,0.31,,IP,"The photographer captured the child's reaction and the chemist monitored one, too.",one,2.9,1.41,0.15
RESERVATION,RESERVATION,0.62,,IP,The luxury hotel confirmed the reservation and the Navajo tribe lived on one.,one,1.94,1.29,0.14
REVIEW,REVIEW,0.33,,IP,The critic wrote the review and before finals the undergrads attended one.,one,2.99,1.47,0.16
RULER,RULER,0.7,,IP,The country is governed by a ruler and the line measured with one.,one,1.44,0.92,0.1
SCENE,SCENE,0.27,,IP,The Broadway actors rehearsed the scene and the firemen raced to one.,one,3.25,1.56,0.17
SHEET,SHEET,0.08,,IP,The student wrote something on the sheet and the maid laundered one.,one,2.11,1.22,0.13
SOLUTION,SOLUTION,0.53,,IP,The chemists mixed up a solution and the teachers arrived at one.,one,2.15,1.22,0.13
SPEAKER,SPEAKER,0.19,,IP,The stereo system was missing a speaker and the conference organizers scheduled one.,one,2.38,1.35,0.14
STEP,STEPS,0.42,,IP,The baby took several steps and the grandmother slowly climbed some.,some,3.91,1.85,0.2
STRAW,STRAW,0.43,,IP,The patient sucked water through the straw and the horse nestled in some.,some,1.59,0.88,0.09
STRINGS,STRINGS,0.25,,IP,The orchestra featured some strings and the puppeteers pulled several.,several,3.32,1.62,0.17
SUN,SUN,0.46,,IP,I calculated the distance to the sun and felt it on my arm.,it,5.38,1.64,0.17
TARGET,TARGET,0.41,,IP,Her arrow hit the target and my mom shops at one.,one,1.76,1.01,0.11
TRIP,TRIP,0.5,,IP,The adventurous travelers took a trip and my sprained ankle was caused by one.,one,1.86,1.31,0.14
VESSEL,VESSEL,0.65,,IP,His stroke occurred from a ruptured vessel and the ship's captain steered one.,one,1.6,1.15,0.12
VOLUME,VOLUME,0.65,,IP,We asked the DJ to increase the volume and for the geometric figure we calculated it.,it,1.61,0.98,0.1
WATCH,WATCH,0.37,,IP,The guard kept a watch and the businessman wore one.,one,2.32,1.59,0.17
WEED,WEED,0.52,,IP,They used a bong to smoke the weed and the gardener stooped to pull one.,one,2.34,1.28,0.14
BACK,BACK,0.22,,RP,Extra boxes are stored in the back and I got a tattoo on mine.,mine,2.35,1.24,0.13
BAG,BAG,0.76,,RP,My brother carried a bag of Cheetos and I ate the whole thing.,whole thing,6.22,1.35,0.14
BASKETBALL,BASKETBALL,0.67,,RP,My brother dribbled the basketball and I watched some on TV.,some,5.03,1.5,0.16
BEATLES,BEATLES,0.03,,RP,My grandmother met the Beatles and I listened to them.,them,6.44,1.09,0.12
BEETHOVEN,BEETHOVEN,0.64,,RP,The classical pianist performed Beethoven and owned some music annotated by him.,him,6.22,1.08,0.11
BOOK,BOOK,0.23,,RP,She was completely absorbed by the book and flipped its pages.,its,6.69,0.91,0.1
BOTTLE,BOTTLE,0.2,,RP,The man drank a bottle and his friend smashed one.,one,6.19,0.99,0.11
BRIEFCASE,BRIEFCASE,0.64,,RP,He carried his briefcase and she organized hers.,hers,6.38,1.1,0.12
BUCKET,BUCKET,0.22,,RP,The maid poured a bucket and the kids carried one.,one,5.59,1.51,0.16
CABBAGE,CABBAGE,0.48,,RP,The gardener grew cabbage and the children ate some.,some,6.47,1.17,0.13
CARTON,CARTON,0.2,,RP,The guy smoked a whole carton and warning labels covered it.,it,5.63,1.85,0.2
CAULDRON,CAULDRON,0.65,,RP,We emptied the cauldron and others lifted one.,one,5.44,1.81,0.19
CEDAR,CEDAR,0.58,,RP,Hikers tramped through the cedar and carpenters use it for closets.,it,4.51,1.81,0.19
CHICKEN,CHICKEN,0.72,,RP,The chicken clucked and it smelled delicious.,it,5.17,1.6,0.17
CHIMNEY,CHIMNEY,0.76,,RP,Santa slid down our neighbor's chimney and owls perched on ours.,ours,6.43,1,0.11
CHINESE,CHINESE,0.52,,RP,The restaurant's cuisine was Chinese and it was also my first language.,it,4.6,1.55,0.17
CHURCH,CHURCH,0.59,,RP,A decree was announced by the church and a bell hung in another.,another,5.2,1.72,0.18
CORAL,CORAL,0.64,,RP,"The clothing racks were full of coral and the Australian reef had a lot, too.",a lot,2.49,1.6,0.17
COTTON,COTTON,0.49,,RP,The fashion designer stitched the cotton and the migrant workers picked it.,it,5.63,1.45,0.15
CREAM,CREAM,Not normed,Not available,RP,We painted the room cream and I drank my coffee with some.,some,2.51,1.43,0.15
CUP,CUP,0.45,,RP,The customer drank a cup and the artist painted one.,one,4.81,1.8,0.19
DOOR,DOOR,0.26,,RP,The student walked through the door and someone knocked on it.,it,6.5,1.17,0.13
EGGS,EGGS,0.73,,RP,For breakfast I ate several eggs and the turtle laid some.,some,5.13,1.46,0.16
ELVIS,ELVIS,0.6,,RP,I am related to Elvis and the radio station plays him quite a bit.,him,6.11,1.16,0.12
EMERALD,EMERALD,0.57,,RP,The paint color was emerald and the ring was set with one.,one,3.91,1.4,0.15
FISH,FISH,0.74,,RP,They snorkeled with some fish and ate some for dinner.,some,6.19,1.07,0.11
FLASK,FLASK,Not normed,Not available,RP,The skier guzzled a flask and my brother dropped his.,his,5.1,1.79,0.19
GATE,GATE,0.44,,RP,My dad repainted the gate and my ball rolled through it.,it,6.23,1.39,0.15
GERMAN,GERMAN,0.5,,RP,My ancestors are German and that is what they mostly speak.,that,5.31,1.41,0.15
HEART,HEART,0.6,,RP,There was a medical problem with his heart and for Valentine's we decorated one.,one,3.56,1.53,0.16
HEMINGWAY,HEMINGWAY,0.44,,RP,Our class read Hemingway and we met his grandchildren.,his,5.69,1.52,0.16
HIP-HOP,HIP-HOP,0.43,,RP,The young dance students prefer hip-hop and musicians like to perform it.,it,6.27,1.09,0.12
HIROSHIMA,HIROSHIMA,0.42,,RP,"Tokyo is larger than Hiroshima, and the explosion was larger than it, too.",it,5.25,1.66,0.18
HOLLYWOOD,HOLLYWOOD,0.53,,RP,"The vice cop hated Hollywood and the foreign director hated it, too.",it,5.86,1.42,0.15
HOSPITAL,HOSPITAL,0.01,,RP,"There was a call from the hospital, and we drove to it.",it,6.48,0.95,0.1
IRAQ,IRAQ,0.51,,RP,The politicians discussed Iraq and the travelers walked its border.,its,6.03,1.12,0.12
IVORY,IVORY,0.64,,RP,The room was painted ivory and the knife was carved from it.,it,3.02,1.51,0.16
JADE,JADE,0.35,,RP,"The color of the room was jade and her jewelry was set with some, too.",some,4.03,1.58,0.17
JAPANESE,JAPANESE,0.27,,RP,They dined out on Japanese and his best friend is Japanese.,japanese,4.82,1.56,0.17
JUG,JUG,0.59,,RP,He poured a jug and she lifted one.,one,5.5,1.63,0.17
KEG,KEG,0.35,,RP,The frat boys drank a keg and the other guys lifted one.,one,5.65,1.55,0.16
KOREAN,KOREAN,0.73,,RP,"Her favorite cuisine was Korean, and most of her friends were Korean.",korean,5.17,1.46,0.16
LAMB,LAMB,0.67,,RP,The farmer fed the lamb and the diners ate some.,some,6,1.21,0.13
LAVENDER,LAVENDER,0.4,,RP,She painted the room lavender and they enjoyed its scent.,its,3.63,1.58,0.17
LIBRARY,LIBRARY,0.31,,RP,Their uncle read the entire library and the structural engineer toured it.,it,5.02,1.74,0.19
LILAC,LILAC,Not normed,Not available,RP,The bedroom was lilac and the flower gardens smelled strongly of it.,it,3.93,1.62,0.17
LOBSTER,LOBSTER,0.04,,RP,The fisherman caught a lobster and for dinner we ate one.,one,6.49,1.12,0.12
MAPLE,MAPLE,0.55,,RP,We love the flavor of maple and the contractor appreciates its hardness.,its,2.9,1.74,0.19
MARBLE,MARBLE,0.28,,RP,The stone cutter selected the marble and the kitten played with one.,one,2.25,1.38,0.15
MEDITERRANEAN,MEDITERRANEAN,0.5,,RP,The diners opted for Mediterranean and we vacationed there.,there,4.15,1.58,0.17
MEXICAN,MEXICAN,0.18,,RP,"Her family is Mexican and the food is Mexican, too.",mexican,5.55,1.19,0.13
MISSISSIPPI,MISSISSIPPI,0.03,,RP,My cousins live in Mississippi and I once canoed it.,it,4.03,1.69,0.18
NAVY,NAVY,0.68,,RP,My brother joined the navy and my car was that color.,that,1.57,1.03,0.11
OAK,OAK,0.47,,RP,He cut some branches from the oak and the woodworker sanded some.,some,5.78,1.38,0.15
ORANGE,ORANGE,0.53,,RP,Her jacket was orange and she peeled herself one.,one,2.7,1.58,0.17
PALACE,PALACE,0.12,,RP,A statement was issued by the palace and roads were closed near it.,it,5.6,1.61,0.17
PENTAGON,PENTAGON,0.08,,RP,The vice admiral visited the Pentagon and the geometry student drew one.,one,2.69,1.57,0.17
PICASSO,PICASSO,0.52,,RP,The museum collected Picasso and I once met his granddaughter.,his,5.5,1.42,0.15
PRISON,PRISON,0.07,,RP,The uniform was issued by the prison and a criminal tunneled through it.,it,5.44,1.71,0.18
PYRAMID,PYRAMID,0.64,,RP,Tourists rode camels to a pyramid and sophomores calculated one's volume.,one's,3.82,1.82,0.19
RECIPE,RECIPE,Not normed,Not available,RP,The housewife cooked the recipe and the kids tasted it.,it,5.86,1.42,0.15
RUBY,RUBY,0.24,,RP,Her hair was ruby and there was one in her engagement ring.,one,3.28,1.52,0.16
SHAKESPEARE,SHAKESPEARE,0.62,,RP,Her favorite poetry was Shakespeare and he was a distant relative.,he,5.56,1.49,0.16
SILVER,SILVER,Not normed,Not available,RP,Her dress was silver and the coin was made of it.,it,3.59,1.51,0.16
SPANISH,SPANISH,0.37,,RP,My grandmother is Spanish and it is her native language.,it,5.22,1.55,0.17
STARBUCKS,STARBUCKS,0.63,,RP,"The woman drank Starbucks and worked there, too.",there,5.89,1.25,0.13
TAN,TAN,Not normed,Not available,RP,The paint she picked was tan and in the summer she always gets one.,one,3.63,1.56,0.17
TEASPOON,TEASPOON,0.16,,RP,She ate a teaspoon and polished one.,one,3.53,1.63,0.17
TELEVISION,TELEVISION,0.71,,RP,I set the little cactus on the television and then watched some.,some,5.78,1.38,0.15
TUNA,TUNA,0.18,,RP,The fisherman caught some tuna and we ate some for lunch.,some,6.4,0.88,0.09
TUNNEL,TUNNEL,Not normed,Not available,RP,We drove through the tunnel and engineers built it with steel.,it,6.42,1,0.11
TURQUOISE,TURQUOISE,0.72,,RP,The red didn't coordinate with turquoise but the jewelry was inlaid with it.,it,4.35,1.68,0.18
UNIVERSITY,UNIVERSITY,0.58,,RP,The policy was implemented by the university and ivy covered it.,it,4.24,2.08,0.22
VASE,VASE,Not normed,Not available,RP,The florist arranged the vase and a sculptor carved it.,it,5.52,1.57,0.17
VATICAN,VATICAN,0.05,,RP,Representatives were sent by the Vatican and murals covered it.,it,4.83,1.85,0.2
VIETNAM,VIETNAM,0.6,,RP,My uncle protested Vietnam and my sister vacationed there.,there,5.14,1.76,0.19
VIOLET,VIOLET,0.63,,RP,The florist chose violets and the paint store carried a range of them.,them,3.85,1.68,0.18
WHISTLE,WHISTLE,0.37,,RP,The tea kettle let out a whistle and the assault victim carried one.,one,3.32,1.65,0.18
WINDOW,WINDOW,0.41,,RP,The janitor wiped down the window and a breeze blew through it.,it,6.42,1.12,0.12
WOOL,WOOL,0.45,,RP,The ranchers sheared the wool and the laundry service dry cleaned it.,it,4.79,1.71,0.18
ACROBATS,ACROBATS,NA,,UA,At the circus we watched the acrobats and at the gym we met them.,them,6.24,1.41,0.15
ANKLE,ANKLE,NA,,UA,Tom got a tattoo on his ankle and the soccer player twisted his.,his,6.57,1.01,0.11
ASPIRIN,ASPIRIN,NA,,UA,The doctor prescribed aspirin and I always keep some handy.,some,6.7,0.61,0.06
AUNT,AUNT,NA,,UA,I stayed with my aunt and received a gift from her.,her,6.66,0.96,0.1
AUTUMN,AUTUMN,NA,,UA,The kids returned to school in autumn and there were several storms then.,then,6,1.42,0.15
BASEMENT,BASEMENT,NA,,UA,Our laundry is in the basement and there is flooding there.,there,6.66,0.76,0.08
BEACH,BEACH,NA,,UA,I walked on the beach and tourists flocked there.,there,6.52,0.82,0.09
BEGGARS,BEGGARS,NA,,UA,The streets were filled with beggars and we gave coins to some of them.,them,6.67,0.99,0.11
BRACELET,BRACELET,NA,,UA,She wore a bracelet and received one as a gift.,one,6.52,1.01,0.11
CANOE,CANOE,NA,,UA,We drifted in a canoe and the museum displayed one.,one,5.61,1.71,0.18
CIDER,CIDER,NA,,UA,The waitress brought some cider and we drank some.,some,6.76,0.69,0.07
CIGARETTES,CIGARETTES,NA,,UA,My mom hates the smell of cigarettes and my father quit smoking them.,them,6.85,0.44,0.05
